grid_lat,grid_lon,hour,pm25,no2,o3
12.9,77.63,2026-01-19 10:00:00,96.47990193846876,40.74632711454937,33.02085485698411
12.91,77.68,2026-01-18 22:00:00,128.43636733655538,28.9424888598398,101.96071357257068
12.92,77.56,2026-01-18 19:00:00,146.51516343733053,28.46407569500037,93.6225918408392
12.92,77.63,2026-01-19 15:00:00,105.41356497244138,69.03852897468342,44.565359555373824
12.93,77.54,2026-01-19 13:00:00,13.666895799841614,43.04867506089489,52.65661536916004
12.93,77.57,2026-01-19 03:00:00,85.87790596060437,8.391414833340278,11.46395021056063
12.93,77.58,2026-01-19 14:00:00,43.58666044784543,17.374802357730793,11.19275744013792
12.93,77.64,2026-01-19 16:00:00,75.15432739030074,54.505299343809305,77.77745311252491
12.93,77.66,2026-01-19 11:00:00,38.385055491527126,72.29186968056094,81.87320602710538
12.94,77.52,2026-01-19 02:00:00,93.33520463703572,79.14788447141851,61.61901451250959
12.95,77.51,2026-01-18 17:00:00,61.07833661469611,66.99370974399372,114.89506881910548
12.95,77.52,2026-01-19 07:00:00,14.803199992391676,6.056573267014516,24.180125703923977
12.96,77.58,2026-01-19 08:00:00,128.58610837614813,56.64874188307111,64.10614602364411
12.97,77.51,2026-01-19 01:00:00,56.30381174941582,12.861899277132917,33.52198439638752
12.97,77.57,2026-01-18 21:00:00,80.02436591260994,24.61175008509553,53.408992710568704
12.98,77.55,2026-01-19 04:00:00,104.46600118378689,9.848262864229536,57.87459290023
12.99,77.67,2026-01-18 23:00:00,53.25331157766677,50.88710673893415,45.16524649037835
12.99,77.7,2026-01-19 05:00:00,143.91585725696902,18.790002341820543,77.64080964579047
12.99,77.7,2026-01-19 06:00:00,54.08908295182923,5.391370209746139,47.93120886383734
13.01,77.51,2026-01-19 09:00:00,54.86640427542223,34.40702902419012,34.89417182227372
13.02,77.61,2026-01-18 18:00:00,133.8778912452247,74.38379901211447,104.7544800226555
13.03,77.59,2026-01-19 12:00:00,87.95521575213338,10.065038105301303,67.03735639797357
13.03,77.7,2026-01-18 20:00:00,111.58352041040868,24.91369226731355,88.19834018333282
13.04,77.53,2026-01-19 00:00:00,98.22220529319728,49.18300938947097,73.46823446462582
